card_name,card_value,trend_score,ai_score_adjustment,ai_attach_score_adjustment,ai_value_multiplier,sample_confidence,matches_analyzed,generated_unix,base_reached_match_count,no_valid_move_match_count,nexus_card_lost_match_count,unknown_win_condition_match_count,seen_count,attach_count,attach_rate,move_count,move_win_count,move_win_rate,capture_count,capture_rate,nexus_capture_count,base_entry_count,progress_sum,avg_progress_per_move,delta_attach_per_player_match,delta_moves_per_player_match,delta_progress_per_player_match,delta_captures_per_player_match,expire_count,return_deck_count,return_hand_count,effect_trigger_count,base_change_effect_count,cards_moved_by_effect,affected_count_by_effect,win_slot_count,lose_slot_count,win_attach_sum,lose_attach_sum,win_moves_sum,lose_moves_sum,win_progress_sum,lose_progress_sum,win_captures_sum,lose_captures_sum
Wind Step,-3.7340,48.1330,-3.7340,-1.4936,0.9627,0.1474,94,1778614657,44,8,42,0,19,18,0.9474,30,20,0.6667,5,0.1667,0,0,38.0000,1.2667,0.0000,0.1064,0.1277,0.0106,3,5,0,0,0,0,0,94,94,9.0000,9.0000,20.0000,10.0000,25.0000,13.0000,3.0000,2.0000
Herald,-3.9422,48.0289,-3.9422,-1.5769,0.9606,0.1449,94,1778614657,44,8,42,0,25,21,0.8400,29,22,0.7586,3,0.1034,1,0,33.0000,1.1379,0.0745,0.1596,0.1809,0.0319,2,8,0,0,0,0,0,94,94,14.0000,7.0000,22.0000,7.0000,25.0000,8.0000,3.0000,0.0000
Field Surveyor,-4.0751,47.9625,-4.0751,-1.6300,0.9592,0.1498,94,1778614657,44,8,42,0,28,17,0.6071,31,18,0.5806,11,0.3548,3,0,17.0000,0.5484,0.0745,0.0532,0.0319,0.0745,5,9,0,0,0,0,0,94,94,12.0000,5.0000,18.0000,13.0000,10.0000,7.0000,9.0000,2.0000
Everyman,-4.0963,47.9519,-4.0963,-1.6385,0.9590,0.0712,94,1778614657,44,8,42,0,44,7,0.1591,7,4,0.5714,3,0.4286,0,0,-8.0000,-1.1429,-0.0106,0.0106,0.0213,-0.0319,0,37,0,3,0,0,0,94,94,3.0000,4.0000,4.0000,3.0000,-3.0000,-5.0000,0.0000,3.0000
Shield Wall,-4.3078,47.8461,-4.3078,-1.7231,0.9569,0.1474,94,1778614657,44,8,42,0,17,16,0.9412,30,8,0.2667,9,0.3000,2,0,28.0000,0.9333,-0.0426,-0.1489,-0.1277,-0.0319,2,6,0,0,0,0,0,94,94,6.0000,10.0000,8.0000,22.0000,8.0000,20.0000,3.0000,6.0000
Silver General,-4.4922,47.7539,-4.4922,-1.7969,0.9551,0.1522,94,1778614657,44,8,42,0,16,12,0.7500,32,16,0.5000,9,0.2812,1,0,31.0000,0.9688,0.0213,0.0000,-0.0745,0.0106,7,1,0,0,0,0,0,94,94,7.0000,5.0000,16.0000,16.0000,12.0000,19.0000,5.0000,4.0000
Scout,-4.5713,47.7143,-4.5713,-1.8285,0.9543,0.1042,94,1778614657,44,8,42,0,21,8,0.3810,15,5,0.3333,2,0.1333,0,0,6.0000,0.4000,0.0213,-0.0532,0.0426,-0.0213,2,13,0,0,0,0,0,94,94,5.0000,3.0000,5.0000,10.0000,5.0000,1.0000,0.0000,2.0000
Rajah,-4.6991,47.6505,-4.6991,-1.8796,0.9530,0.2784,94,1778614657,44,8,42,0,49,48,0.9796,107,62,0.5794,24,0.2243,2,3,127.0000,1.1869,0.1277,0.1809,0.2021,0.0000,0,33,2,0,0,0,0,94,94,30.0000,18.0000,62.0000,45.0000,73.0000,54.0000,12.0000,12.0000
Gold General,-4.7650,47.6175,-4.7650,-1.9060,0.9523,0.1569,94,1778614657,44,8,42,0,19,18,0.9474,34,17,0.5000,7,0.2059,0,0,38.0000,1.1176,-0.0213,0.0000,-0.0213,0.0319,6,3,0,0,0,0,0,94,94,8.0000,10.0000,17.0000,17.0000,18.0000,20.0000,5.0000,2.0000
Crane Spiral,-4.8141,47.5930,-4.8141,-1.9256,0.9519,0.2049,94,1778614657,44,8,42,0,38,36,0.9474,58,36,0.6207,11,0.1897,0,0,68.0000,1.1724,0.0426,0.1489,0.2128,0.0532,5,16,0,0,0,0,0,94,94,20.0000,16.0000,36.0000,22.0000,44.0000,24.0000,8.0000,3.0000
Khan,-4.8310,47.5845,-4.8310,-1.9324,0.9517,0.2235,94,1778614657,44,8,42,0,35,35,1.0000,69,33,0.4783,15,0.2174,1,2,94.0000,1.3623,0.0745,-0.0319,0.0213,-0.0319,0,15,2,17,0,0,5,94,94,21.0000,14.0000,33.0000,36.0000,48.0000,46.0000,6.0000,9.0000
Steward,-4.8347,47.5826,-4.8347,-1.9339,0.9517,0.1142,94,1778614657,44,8,42,0,32,16,0.5000,18,14,0.7778,4,0.2222,0,0,4.0000,0.2222,0.0638,0.1064,0.0638,0.0000,0,13,0,0,0,0,0,94,94,11.0000,5.0000,14.0000,4.0000,5.0000,-1.0000,2.0000,2.0000
Oracle,-5.1514,47.4243,-5.1514,-2.0606,0.9485,0.1659,94,1778614657,44,8,42,0,29,22,0.7586,38,15,0.3947,7,0.1842,2,0,36.0000,0.9474,-0.0426,-0.0851,-0.0213,-0.0319,2,17,0,2,0,0,0,94,94,9.0000,13.0000,15.0000,23.0000,17.0000,19.0000,2.0000,5.0000
Ruler,-5.8072,47.0964,-5.8072,-2.3229,0.9419,0.0807,94,1778614657,44,8,42,0,46,11,0.2391,9,2,0.2222,1,0.1111,0,0,-11.0000,-1.2222,-0.0106,-0.0532,0.0532,-0.0106,0,34,0,11,0,0,22,94,94,5.0000,6.0000,2.0000,7.0000,-3.0000,-8.0000,0.0000,1.0000
Bard,-6.7206,46.6397,-6.7206,-2.6883,0.9328,0.1615,94,1778614657,44,8,42,0,35,21,0.6000,36,11,0.3056,8,0.2222,0,0,16.0000,0.4444,-0.0106,-0.1489,-0.0426,-0.0426,1,13,0,0,0,0,0,94,94,10.0000,11.0000,11.0000,25.0000,6.0000,10.0000,2.0000,6.0000
Numero_2,-7.2069,46.3966,-7.2069,-2.8828,0.9279,0.3834,94,1778614657,44,8,42,0,112,97,0.8661,203,95,0.4680,30,0.1478,4,1,182.0000,0.8966,-0.0532,-0.0745,0.3617,0.0319,57,35,0,0,0,0,0,94,94,45.0000,50.0000,95.0000,102.0000,102.0000,68.0000,16.0000,13.0000
King,-8.2476,45.8762,-8.2476,-3.2990,0.9175,0.2219,94,1778614657,44,8,42,0,28,32,1.1429,68,8,0.1176,22,0.3235,3,1,72.0000,1.0588,-0.1489,-0.5532,-0.5957,-0.1915,0,11,4,0,0,0,0,94,94,9.0000,23.0000,8.0000,60.0000,8.0000,64.0000,2.0000,20.0000
Numero_1,-10.6225,44.6888,-10.6225,-4.2490,0.8938,0.5469,94,1778614657,44,8,42,0,189,181,0.9577,413,196,0.4746,39,0.0944,14,2,323.0000,0.7821,-0.0638,-0.1277,-0.0851,-0.0426,122,34,0,0,0,0,0,94,94,85.0000,91.0000,196.0000,208.0000,155.0000,163.0000,17.0000,21.0000
Numero_5,-11.1110,44.4445,-11.1110,-4.4444,0.8889,0.4888,94,1778614657,44,8,42,0,194,171,0.8814,330,153,0.4636,70,0.2121,13,0,155.0000,0.4697,-0.0745,-0.2234,-0.0957,-0.1383,84,46,0,0,0,0,0,94,94,80.0000,87.0000,153.0000,174.0000,72.0000,81.0000,28.0000,41.0000
Numero_7,-12.9057,43.5472,-12.9057,-5.1623,0.8709,0.4186,94,1778614657,44,8,42,0,103,99,0.9612,242,121,0.5000,28,0.1157,5,1,242.0000,1.0000,-0.0106,0.0638,-0.1277,-0.0851,73,13,0,0,0,0,0,94,94,48.0000,49.0000,121.0000,115.0000,114.0000,126.0000,10.0000,18.0000
Numero_6,-18.9754,40.5123,-18.9754,-7.5902,0.8102,0.5587,94,1778614657,44,8,42,0,170,169,0.9941,431,207,0.4803,31,0.0719,4,2,284.0000,0.6589,0.0000,-0.0532,0.0638,0.0106,129,22,0,0,0,0,0,94,94,82.0000,82.0000,207.0000,212.0000,138.0000,132.0000,16.0000,15.0000
Jester,-19.3163,40.3419,-19.3163,-7.7265,0.8068,0.3339,94,1778614657,44,8,42,0,126,91,0.7222,154,76,0.4935,9,0.0584,0,0,-69.0000,-0.4481,-0.0426,-0.0106,0.1702,-0.0106,0,57,0,34,3,0,0,94,94,43.0000,47.0000,76.0000,77.0000,-26.0000,-42.0000,4.0000,5.0000
Prince,-20.5103,39.7449,-20.5103,-8.2041,0.7949,1.0000,94,1778614657,44,8,42,0,160,540,3.3750,1381,335,0.2426,78,0.0565,2,27,514.0000,0.3722,-0.2447,0.0106,0.2553,-0.0106,0,76,383,540,0,0,0,94,94,139.0000,162.0000,335.0000,334.0000,266.0000,242.0000,38.0000,39.0000
Numero_4,-21.1008,39.4496,-21.1008,-8.4403,0.7890,0.5528,94,1778614657,44,8,42,0,189,178,0.9418,422,199,0.4716,45,0.1066,10,0,190.0000,0.4502,0.1383,-0.1702,-0.2979,0.1170,128,36,0,0,0,0,0,94,94,93.0000,80.0000,199.0000,215.0000,79.0000,107.0000,28.0000,17.0000
Numero_3,-21.1377,39.4312,-21.1377,-8.4551,0.7886,0.5056,94,1778614657,44,8,42,0,195,176,0.9026,353,177,0.5014,33,0.0935,7,2,58.0000,0.1643,0.0957,0.0532,-0.1170,0.1170,104,46,0,0,0,0,0,94,94,91.0000,82.0000,177.0000,172.0000,25.0000,36.0000,21.0000,10.0000
Troubadour,-23.0447,38.4776,-23.0447,-9.2179,0.7696,0.4454,94,1778614657,44,8,42,0,115,90,0.7826,274,131,0.4781,22,0.0803,3,1,75.0000,0.2737,0.0213,-0.0532,-0.2660,0.0851,41,33,0,21,0,1,0,94,94,45.0000,43.0000,131.0000,136.0000,24.0000,49.0000,15.0000,7.0000
